timestamp,timestamp_utc,temperature_2m,apparent_temperature,relative_humidity_2m,precipitation,rain,snowfall,weather_code,wind_speed_10m
2024-01-01 00:00:00,2024-01-01T05:00:00Z,1.8,-2.1,71,0.0,0.0,0.0,3,9.0
2024-01-01 01:00:00,2024-01-01T06:00:00Z,2.4,-1.7,71,0.0,0.0,0.0,3,10.9
2024-01-01 02:00:00,2024-01-01T07:00:00Z,2.4,-1.5,73,0.0,0.0,0.0,3,10.1
2024-01-01 03:00:00,2024-01-01T08:00:00Z,2.2,-1.4,75,0.0,0.0,0.0,1,8.1
2024-01-01 04:00:00,2024-01-01T09:00:00Z,-0.0,-3.2,87,0.0,0.0,0.0,2,5.6
2024-01-01 05:00:00,2024-01-01T10:00:00Z,-0.8,-4.2,91,0.0,0.0,0.0,3,6.5
2024-01-01 06:00:00,2024-01-01T11:00:00Z,0.4,-2.4,90,0.0,0.0,0.0,3,3.6
2024-01-01 07:00:00,2024-01-01T12:00:00Z,1.2,-1.8,86,0.0,0.0,0.0,3,4.8
2024-01-01 08:00:00,2024-01-01T13:00:00Z,2.3,-0.4,83,0.1,0.1,0.0,51,3.9
2024-01-01 09:00:00,2024-01-01T14:00:00Z,2.7,-0.1,81,0.0,0.0,0.0,3,4.7
2024-01-01 10:00:00,2024-01-01T15:00:00Z,3.7,0.7,75,0.0,0.0,0.0,3,5.5
2024-01-01 11:00:00,2024-01-01T16:00:00Z,4.6,1.5,73,0.0,0.0,0.0,2,6.5
2024-01-01 12:00:00,2024-01-01T17:00:00Z,5.9,2.8,65,0.0,0.0,0.0,2,6.5
2024-01-01 13:00:00,2024-01-01T18:00:00Z,6.7,3.3,60,0.0,0.0,0.0,3,8.1
2024-01-01 14:00:00,2024-01-01T19:00:00Z,6.6,3.2,59,0.0,0.0,0.0,3,7.4
2024-01-01 15:00:00,2024-01-01T20:00:00Z,6.4,3.0,58,0.0,0.0,0.0,3,7.4
2024-01-01 16:00:00,2024-01-01T21:00:00Z,6.1,2.9,60,0.0,0.0,0.0,3,6.0
2024-01-01 17:00:00,2024-01-01T22:00:00Z,3.4,0.1,76,0.0,0.0,0.0,1,7.2
2024-01-01 18:00:00,2024-01-01T23:00:00Z,1.6,-1.7,83,0.0,0.0,0.0,1,7.3
2024-01-01 19:00:00,2024-01-02T00:00:00Z,0.9,-2.3,86,0.0,0.0,0.0,1,6.0
2024-01-01 20:00:00,2024-01-02T01:00:00Z,1.5,-2.6,78,0.0,0.0,0.0,0,11.6
2024-01-01 21:00:00,2024-01-02T02:00:00Z,1.0,-3.8,69,0.0,0.0,0.0,0,14.7
2024-01-01 22:00:00,2024-01-02T03:00:00Z,-0.2,-4.9,74,0.0,0.0,0.0,0,13.9
2024-01-01 23:00:00,2024-01-02T04:00:00Z,-1.2,-6.0,77,0.0,0.0,0.0,0,13.8
2024-01-02 00:00:00,2024-01-02T05:00:00Z,-2.0,-6.9,77,0.0,0.0,0.0,0,13.7
2024-01-02 01:00:00,2024-01-02T06:00:00Z,-2.5,-7.3,77,0.0,0.0,0.0,0,12.9
2024-01-02 02:00:00,2024-01-02T07:00:00Z,-3.0,-7.7,78,0.0,0.0,0.0,0,12.0
2024-01-02 03:00:00,2024-01-02T08:00:00Z,-3.6,-8.1,81,0.0,0.0,0.0,0,10.7
2024-01-02 04:00:00,2024-01-02T09:00:00Z,-4.1,-8.6,84,0.0,0.0,0.0,0,10.2
2024-01-02 05:00:00,2024-01-02T10:00:00Z,-4.6,-8.9,86,0.0,0.0,0.0,0,9.5
2024-01-02 06:00:00,2024-01-02T11:00:00Z,-4.8,-9.0,87,0.0,0.0,0.0,0,8.5
2024-01-02 07:00:00,2024-01-02T12:00:00Z,-5.0,-9.0,88,0.0,0.0,0.0,0,7.1
2024-01-02 08:00:00,2024-01-02T13:00:00Z,-3.6,-7.7,81,0.0,0.0,0.0,0,8.1
2024-01-02 09:00:00,2024-01-02T14:00:00Z,-1.7,-6.0,68,0.0,0.0,0.0,0,8.5
2024-01-02 10:00:00,2024-01-02T15:00:00Z,-0.1,-4.3,62,0.0,0.0,0.0,0,8.8
2024-01-02 11:00:00,2024-01-02T16:00:00Z,1.4,-2.7,60,0.0,0.0,0.0,0,8.7
2024-01-02 12:00:00,2024-01-02T17:00:00Z,3.0,-1.2,55,0.0,0.0,0.0,0,9.0
2024-01-02 13:00:00,2024-01-02T18:00:00Z,4.1,-0.2,51,0.0,0.0,0.0,0,10.0
2024-01-02 14:00:00,2024-01-02T19:00:00Z,4.7,0.4,49,0.0,0.0,0.0,0,10.5
2024-01-02 15:00:00,2024-01-02T20:00:00Z,4.9,0.5,48,0.0,0.0,0.0,0,10.6
2024-01-02 16:00:00,2024-01-02T21:00:00Z,4.1,0.3,53,0.0,0.0,0.0,0,7.7
2024-01-02 17:00:00,2024-01-02T22:00:00Z,1.0,-2.8,68,0.0,0.0,0.0,0,7.5
2024-01-02 18:00:00,2024-01-02T23:00:00Z,-0.1,-3.9,77,0.0,0.0,0.0,0,7.9
2024-01-02 19:00:00,2024-01-03T00:00:00Z,-0.4,-4.0,81,0.0,0.0,0.0,0,6.9
2024-01-02 20:00:00,2024-01-03T01:00:00Z,-0.6,-4.4,79,0.0,0.0,0.0,0,7.9
2024-01-02 21:00:00,2024-01-03T02:00:00Z,-0.9,-5.0,78,0.0,0.0,0.0,0,9.5
2024-01-02 22:00:00,2024-01-03T03:00:00Z,-0.9,-5.1,73,0.0,0.0,0.0,0,10.0
2024-01-02 23:00:00,2024-01-03T04:00:00Z,-1.2,-5.2,73,0.0,0.0,0.0,0,8.4
2024-01-03 00:00:00,2024-01-03T05:00:00Z,-1.6,-5.7,76,0.0,0.0,0.0,2,9.0
2024-01-03 01:00:00,2024-01-03T06:00:00Z,-1.7,-6.0,78,0.0,0.0,0.0,0,10.1
2024-01-03 02:00:00,2024-01-03T07:00:00Z,-2.1,-6.1,81,0.0,0.0,0.0,1,8.6
2024-01-03 03:00:00,2024-01-03T08:00:00Z,-2.2,-6.3,82,0.0,0.0,0.0,3,9.0
2024-01-03 04:00:00,2024-01-03T09:00:00Z,-2.2,-6.3,81,0.0,0.0,0.0,3,9.4
