feedback_time,Final Hybrid,No-weather Direct,clear_loss_streak_days,warning_episode_start
2024-12-02 23:00:00,1445.93,1336.06,3,True
2024-12-03 23:00:00,1445.52,1375.70,4,False
2024-12-10 23:00:00,1253.60,959.98,3,True
2024-12-11 23:00:00,1256.45,778.39,4,False
2024-12-12 23:00:00,1248.16,712.86,5,False
2024-12-13 23:00:00,1224.25,680.82,6,False
2024-12-14 23:00:00,1162.56,706.04,7,False
2024-12-15 23:00:00,1138.35,731.85,8,False
2024-12-16 23:00:00,1090.89,810.52,9,False
2024-12-17 23:00:00,1032.48,846.96,10,False
2024-12-18 23:00:00,965.38,874.62,11,False
2024-12-31 23:00:00,1604.29,1160.06,3,True
